event.id,unix.timestamp,date,state_code,state,state.abbr,mun_code,municipality,detained,total.people.dead,military.dead,navy.dead,federal.police.dead,afi.dead,state.police.dead,ministerial.police.dead,municipal.police.dead,public.prosecutor.dead,organized.crime.dead,civilian.dead,total.people.wounded,military.wounded,navy.wounded,federal.police.wounded,afi.wounded,state.police.wounded,ministerial.police.wounded,municipal.police.wounded,public.prosecutor.wounded,organized.crime.wounded,civilian.wounded,long.guns.seized,small.arms.seized,cartridge.sezied,clips.seized,vehicles.seized
19.0,1174197610.0,2007-03-18,30.0,Veracruz de Ignacio de la Llave,VER,28.0,Boca del Río,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1175407210.0,2007-04-01,12.0,Guerrero,GRO,16.0,Coahuayutla de José María Izazaga,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,1175749210.0,2007-04-05,25.0,Sinaloa,SIN,3.0,Badiraguato,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,1176267610.0,2007-04-11,19.0,Nuevo León,NL,34.0,Marín,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,926.0,36.0,1.0
23.0,1176267610.0,2007-04-11,16.0,Michoacán de Ocampo,MICH,82.0,Tacámbaro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,1176526810.0,2007-04-14,30.0,Veracruz de Ignacio de la Llave,VER,87.0,Xalapa,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0
25.0,1176613210.0,2007-04-15,30.0,Veracruz de Ignacio de la Llave,VER,193.0,Veracruz,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,1176699610.0,2007-04-16,10.0,Durango,DGO,23.0,Pueblo Nuevo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
27.0,1176872410.0,2007-04-18,2.0,Baja California,BC,4.0,Tijuana,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,1176872410.0,2007-04-18,4.0,Campeche,CAMP,3.0,Carmen,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,2e3,61.0,8.0
29.0,1176872410.0,2007-04-18,25.0,Sinaloa,SIN,12.0,Mazatlán,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,1176958810.0,2007-04-19,2.0,Baja California,BC,4.0,Tijuana,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,1177131610.0,2007-04-21,23.0,Quintana Roo,Q ROO,6.0,José María Morelos,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,1177218010.0,2007-04-22,10.0,Durango,DGO,5.0,Durango,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,1177909210.0,2007-04-30,19.0,Nuevo León,NL,48.0,Santa Catarina,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,1177995610.0,2007-05-01,16.0,Michoacán de Ocampo,MICH,13.0,Carácuaro,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,556.0,0.0,0.0
35.0,1178254810.0,2007-05-04,16.0,Michoacán de Ocampo,MICH,102.0,Uruapan,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
36.0,1178254810.0,2007-05-04,16.0,Michoacán de Ocampo,MICH,102.0,Uruapan,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,1178514010.0,2007-05-07,16.0,Michoacán de Ocampo,MICH,6.0,Apatzingán,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,798.0,15.0,5.0
38.0,1178600410.0,2007-05-08,16.0,Michoacán de Ocampo,MICH,6.0,Apatzingán,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,486.0,15.0,0.0
39.0,1178686810.0,2007-05-09,20.0,Oaxaca,OAX,413.0,Santa María Huatulco,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
40.0,1178773210.0,2007-05-10,28.0,Tamaulipas,TAMPS,41.0,Victoria,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
41.0,1178859610.0,2007-05-11,8.0,Chihuahua,CHIH,5.0,Ascensión,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42.0,1179032410.0,2007-05-13,25.0,Sinaloa,SIN,15.0,Salvador Alvarado,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,1179118810.0,2007-05-14,13.0,Hidalgo,HGO,51.0,Mineral de la Reforma,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0
